PropertyID,Location,PropertyType,Bedrooms,Bathrooms,SquareFootage,Price,RentalPrice,YearBuilt,DistanceToCBD
1,Singapore,House,1.0,3.0,474.329705846528,501503.07749738294,1591.5288821856536,1971.0,0.31775931256875833
2,Sydney,Apartment,4.0,3.0,1294.600212289381,386737.4685870204,1735.7987411305958,1979.0,20.546832494790756
3,Brisbane,House,1.0,3.0,618.5896765385739,552168.3593402916,3956.473156430563,2005.0,16.412251336564147
4,Singapore,House,2.0,1.0,,,2505.666083675319,1994.0,4.039547039693448
5,Melbourne,Apartment,4.0,1.0,998.8571726696309,387531.3549118913,1739.225163916446,1980.0,11.955967952037026
6,Singapore,Townhouse,2.0,3.0,473.15783971772925,390096.9495801364,2906.8383965908033,2014.0,
7,Sydney,Townhouse,2.0,1.0,1231.2570832417825,505447.35513345274,1148.1748292178745,2011.0,18.249703331180488
8,Brisbane,House,2.0,3.0,1247.2090446376399,653292.7030568242,3159.951180093604,,19.085114549090697
9,Melbourne,House,1.0,2.0,1122.5585004463785,440632.28657023754,854.8012068438495,1996.0,
10,Brisbane,Apartment,2.0,2.0,1186.1979868944863,299930.29269677575,2330.304311169942,2019.0,9.342759851497185
11,Brisbane,Apartment,3.0,2.0,-497.0924721862858,267801.5576788882,1426.3437857521708,1983.0,7.83734502471682
12,Melbourne,Townhouse,3.0,3.0,678.5725323508294,285144.5984705961,2298.4878292062,1986.0,1.6651309282836368
13,Brisbane,Apartment,,3.0,,558582.0228867128,3028.3295354164457,1993.0,8.604351604328118
14,Brisbane,Townhouse,4.0,2.0,954.1016450927713,613218.0301106523,2333.5558691763595,1991.0,2.049686500007497
15,Brisbane,Townhouse,,2.0,1350.443980591727,573160.7447587026,1097.0442181638844,1992.0,8.456726559562002
16,Brisbane,Townhouse,4.0,2.0,1243.1641872232024,,2858.752374072286,,8.863585973713665
17,Singapore,Apartment,1.0,3.0,851.079974811717,587575.567738524,1916.3464114922224,1988.0,7.396356560187787
18,Sydney,House,4.0,3.0,1470.2395488602695,643928.7441711894,1698.2308736972307,1985.0,17.49015232738481
19,Melbourne,Townhouse,2.0,1.0,1189.9064554890033,433547.19688848563,3226.717711768909,2015.0,10.564148117999089
20,Sydney,Townhouse,2.0,1.0,1366.7960660277736,644704.352072593,1742.596620466749,2000.0,17.292671501043873
21,Melbourne,Apartment,4.0,3.0,1160.7072799667985,299719.84651542816,1585.0046238188938,2012.0,5.256773295151261
22,Melbourne,Apartment,4.0,2.0,1107.202224165479,857405.8471799771,2206.0167556655,2021.0,13.900929416099329
23,Singapore,Apartment,4.0,3.0,,577483.2338323123,1873.9005657737541,2018.0,13.743233376685149
24,Melbourne,Apartment,4.0,,1068.7466566204712,157741.9676305827,1621.2159227983982,1977.0,10.283986554541432
25,Brisbane,Townhouse,5.0,3.0,810.0222065626474,997022.2729670317,1947.2036908415241,1998.0,11.293348749504295
26,Melbourne,Townhouse,3.0,1.0,439.9635900038347,635893.1492269093,1135.6430664630475,2020.0,11.265248739216794
27,Brisbane,Apartment,2.0,3.0,1140.2523555197224,308257.2518978968,1556.7411353895477,1997.0,7.199693636824264
28,Brisbane,Townhouse,5.0,2.0,754.4529228978307,558704.9039204312,2004.9621647948036,2010.0,10.445201222484652
29,Brisbane,House,5.0,2.0,1228.285845326429,446728.7082019657,1089.1665237828254,1978.0,8.218788119115363
30,Melbourne,House,1.0,2.0,1181.7038128910121,482787.7843975124,,1984.0,
31,Singapore,House,4.0,1.0,404.74815399049663,771741.8867501369,2782.7493030395194,2005.0,4.304776923625598
32,Singapore,Apartment,5.0,3.0,,465981.8123013253,1924.418287150878,1989.0,12.540568164902872
33,Singapore,Townhouse,2.0,3.0,712.0090631260553,419609.45363195025,1041.2827256105743,2016.0,1.4558653021470969
34,Brisbane,House,3.0,3.0,441.7089532354578,577999.6794184025,3557.640970034221,1981.0,0.0
35,Melbourne,Townhouse,2.0,2.0,870.2661957214018,230359.20001720468,2194.295966445801,1985.0,5.478849450176307
36,Melbourne,Apartment,1.0,1.0,1314.2279400647708,24604.598942288103,,1999.0,10.771612243729349
37,Singapore,House,4.0,1.0,622.7438631463721,468857.83649860293,2893.1298671433924,2013.0,16.917541334822314
38,Brisbane,Apartment,,2.0,1452.47958393536,179688.39411057305,,,10.714785656425043
39,Singapore,House,1.0,2.0,959.9138504814337,408698.02637185267,916.2836119614374,1987.0,12.766968493214076
40,Melbourne,House,1.0,3.0,1143.9231635670205,394709.93893717445,1935.3340128459977,2014.0,14.892756406441643
41,Brisbane,House,2.0,3.0,897.127416452253,543297.4059416412,1938.432491086739,1996.0,4.917436990675417
42,Brisbane,Townhouse,2.0,1.0,1096.2616979476547,679196.5810414657,2190.487098068749,1998.0,6.3478508075422315
43,Singapore,House,4.0,2.0,691.0924053362764,71836.08328008866,2253.6572096933537,1971.0,5.367436987422467
44,Singapore,Townhouse,1.0,2.0,1102.9603053205112,426845.4331133731,457.4034608721412,2011.0,14.122014100588359
45,Sydney,Townhouse,5.0,1.0,1054.2134612208831,700141.4969709687,2089.39441418989,2007.0,18.35916168602853
46,Singapore,House,3.0,1.0,846.111124102429,208283.97438562635,1998.5866475189887,1987.0,9.255347495092174
47,Melbourne,Apartment,3.0,1.0,1347.8321571345682,784068.1160855932,2216.3686459870332,1992.0,14.2256299222615
48,Singapore,House,1.0,2.0,1564.420679642168,625075.3725764258,2238.196895187508,2008.0,8.561078651760333
49,Sydney,House,2.0,1.0,1479.0008757656078,447264.49991793145,1757.4845477717922,1995.0,
50,Melbourne,Townhouse,5.0,1.0,1315.5174865050033,266631.82711980713,1866.145327991213,2006.0,7.687428279205505
51,Melbourne,House,4.0,2.0,609.140349524094,,1742.6682947273773,2006.0,6.154036266714301
52,Melbourne,Apartment,4.0,2.0,266.6948653545998,548282.2726078662,2110.9946989083614,1974.0,12.052019264457211
53,Melbourne,Townhouse,5.0,3.0,846.4976111764008,724433.7771627662,2275.5301458826534,1975.0,
54,Singapore,Townhouse,1.0,2.0,1008.0394193934746,518154.42158958653,1938.5080044395393,2015.0,8.9011367707994
55,Singapore,Townhouse,,1.0,1502.0591997084862,524601.7462214084,2030.7698570254156,2021.0,4.475877216864735
56,Brisbane,Townhouse,5.0,1.0,1170.1896028608633,501773.4533427143,,2016.0,19.45680144844166
57,Melbourne,Apartment,3.0,1.0,1151.2369346865707,309444.19675416703,1187.886988268545,1986.0,9.682834528077708
58,Sydney,Apartment,2.0,3.0,527.3598132773172,337871.1281521984,1545.1893297735012,2016.0,7.810728069010738
59,Melbourne,Townhouse,2.0,,611.0759126584242,741949.7700729037,2555.0621283813034,1985.0,9.91954606800466
60,Singapore,Apartment,3.0,2.0,1351.6596279610392,736433.3935579665,1617.7209106148264,2006.0,9.842102033633678
61,Melbourne,Townhouse,3.0,1.0,1257.886049092705,435930.2333650771,,1970.0,
62,Singapore,House,4.0,3.0,842.4417519811805,605246.1238096646,2395.736328550802,1995.0,7.136915975469227
63,Melbourne,Townhouse,1.0,1.0,1145.4072048091662,844335.6545101351,1777.5342509340642,2005.0,15.951111630312795
64,Melbourne,Townhouse,3.0,3.0,891.5413980209178,,1736.4540441081863,1989.0,9.053624521164725
65,Brisbane,Townhouse,2.0,2.0,522.1281414649776,349307.5402251807,1883.2975219435211,2015.0,17.226730971133666
66,Sydney,Apartment,4.0,1.0,818.0399278270274,947988.7354391445,2968.8874297075454,,9.490605451120649
67,Melbourne,Apartment,3.0,3.0,733.7923809590344,366856.5296112248,1773.2917185562571,1981.0,3.8052305989527757
68,Melbourne,Apartment,5.0,2.0,905.2655294156713,259735.9543763504,1233.0666579176795,1977.0,11.599945959836845
69,Brisbane,House,1.0,1.0,794.8367636816225,722580.1433726872,1519.533844099202,2015.0,17.017575166323027
70,Singapore,House,3.0,,1513.1331041691942,638143.3340711498,2613.846246191818,1991.0,13.807917433444738
71,Melbourne,Townhouse,,2.0,700.1305266855619,251880.2337741187,3165.61992220702,1980.0,15.838189031648454
72,Brisbane,House,2.0,1.0,822.8474012812268,395978.7181378194,2066.462824255788,1988.0,7.412331471730236
73,Sydney,House,5.0,1.0,838.4372262151646,560628.5959336364,2264.8950151966324,1993.0,4.372955066230945
74,Sydney,Townhouse,5.0,3.0,824.8822203333608,365478.7922389783,1701.8206882976572,2000.0,6.352609305310232
75,Melbourne,Apartment,4.0,3.0,747.9566891433172,551350.9255604383,1878.6728259945237,2023.0,0.6228760504501452
76,Brisbane,Apartment,3.0,1.0,969.8816283636066,765406.0622182762,3009.718572408719,1989.0,12.167892070450764
77,Melbourne,Apartment,3.0,2.0,1122.5183936581113,933557.367036165,1994.456570929209,2001.0,7.335959474062474
